Date,Open,High,Low,Close  
2020-01-21 00:00:00-05:00,31.408.278,31.626.067,31.260.494,31.377.167
2020-01-22 00:00:00-05:00,31.361.601,31.431.603,31.089.364,31.260.487
2020-01-23 00:00:00-05:00,31.260.493,31.758.294,31.213.823,31.664.955
2020-01-24 00:00:00-05:00,31.843.851,31.867.184,30.832.687,30.972.692
2020-01-27 00:00:00-05:00,30.653.784,31.447.158,30.529.333,31.237.146
2020-01-28 00:00:00-05:00,30.583.791,30.716.019,29.518.179,29.665.966
2020-01-29 00:00:00-05:00,29.650.407,29.852.638,29.207.050,29.230.383
2020-01-30 00:00:00-05:00,29.151.808,29.206.811,28.829.643,29.128.233
2020-01-31 00:00:00-05:00,29.026.087,29.426.824,28.994.655,29.261.816
2020-03-02 00:00:00-05:00,29.434.690,29.890.433,29.308.965,29.473.976
2020-04-02 00:00:00-05:00,29.921.859,30.047.580,29.568.265,29.615.412
2020-05-02 00:00:00-05:00,29.741.133,30.306.884,29.717.562,29.992.577
2020-06-02 00:00:00-05:00,30.204.731,30.251.877,29.882.566,30.063.292
2020-07-02 00:00:00-05:00,30.141.873,30.173.302,29.803.994,29.898.287
2020-10-02 00:00:00-05:00,30.024.007,30.031.864,29.638.982,29.709.700
2020-11-02 00:00:00-05:00,29.772.560,29.961.142,29.670.410,29.929.710
2020-12-02 00:00:00-05:00,29.929.708,30.008.287,29.638.976,29.654.694
2020-02-13 00:00:00-05:00,29.528.974,29.528.974,28.986.798,29.018.230
2020-02-14 00:00:00-05:00,29.049.652,29.104.656,28.617.484,28.688.202
2020-02-18 00:00:00-05:00,28.719.633,28.813.926,28.499.622,28.538.908
2020-02-19 00:00:00-05:00,28.601.770,28.680.348,28.452.477,28.468.191
2020-02-20 00:00:00-05:00,28.059.592,28.334.610,27.823.864,28.169.600
2020-02-21 00:00:00-05:00,28.098.885,28.146.032,27.918.160,28.067.453
2020-02-24 00:00:00-05:00,27.533.133,27.816.009,27.187.398,27.242.401
2020-02-25 00:00:00-05:00,27.250.260,27.297.407,26.488.070,26.660.938
2020-02-26 00:00:00-05:00,26.904.528,27.666.718,26.731.660,27.281.696
2020-02-27 00:00:00-05:00,27.061.676,28.059.595,26.794.516,26.794.516
2020-02-28 00:00:00-05:00,26.315.206,26.668.798,25.560.873,26.260.202
2020-02-03 00:00:00-05:00,26.645.225,27.462.419,26.283.773,27.407.415
2020-03-03 00:00:00-05:00,27.643.144,28.114.601,26.605.936,26.951.672
2020-04-03 00:00:00-05:00,27.580.282,28.648.919,27.462.418,28.601.772
2020-05-03 00:00:00-05:00,28.012.447,28.428.904,27.627.425,27.863.153
2020-06-03 00:00:00-05:00,27.265.979,27.635.290,26.810.239,27.517.426
2020-09-03 00:00:00-04:00,26.291.630,27.258.117,26.055.901,26.527.359
2020-10-03 00:00:00-04:00,27.163.830,27.234.548,25.938.040,27.179.544
2020-11-03 00:00:00-04:00,26.527.361,26.621.654,24.877.258,25.277.998
2020-12-03 00:00:00-04:00,23.950.058,25.144.418,23.572.892,23.588.608
2020-03-13 00:00:00-04:00,24.570.815,25.835.893,23.753.620,25.702.314
2020-03-16 00:00:00-04:00,23.525.744,25.364.430,23.297.873,23.714.327
2020-03-17 00:00:00-04:00,24.861.543,25.655.165,24.036.492,25.270.142
2020-03-18 00:00:00-04:00,24.177.930,25.623.735,23.816.480,25.427.294
2020-03-19 00:00:00-04:00,25.317.283,25.340.856,23.580.747,23.902.910
2020-03-20 00:00:00-04:00,23.792.905,24.099.354,22.716.410,22.794.987
2020-03-23 00:00:00-04:00,22.598.544,23.242.870,21.907.072,22.386.389
2020-03-24 00:00:00-04:00,23.187.865,23.612.176,22.708.551,23.337.160
2020-03-25 00:00:00-04:00,23.180.008,24.138.639,22.787.126,23.376.448
2020-03-26 00:00:00-04:00,23.486.460,25.136.561,23.478.601,24.947.979
2020-03-27 00:00:00-04:00,24.201.500,24.940.117,24.091.493,24.280.077
